ASV_ID	P16609_1001	P16609_1002	P16609_1003	P16609_1004	P16609_1005	P16609_1006	P16609_1007	P16609_1008	P16609_1009
d801a0ac6df4206cc858491c79ae41cf	0	0	0	0	0	0	0	0	0
c47018c050a55f5b6a51764ed083178b	0	0	0	0	0	0	0	0	0
6697f15cf447d5a365e0416693bcfc4f	22	50	42	18	44	35	19	15	95
952fb7e111f253a5d74d1b0fceca6af5	76	162	128	70	159	75	0	36	0
91aa9101b6902563ea1aecb8bf2f5fe2	80	124	120	49	87	35	0	47	40
fdd9c530c3245e3e0a2a1203089e1b9a	89	117	110	37	71	47	0	0	22
8e53231aa9a4d5867845ecd75d68eb3a	50	44	69	38	82	35	22	57	73
069bdc5aa6064808578174c1cca7958d	86	158	151	67	171	91	0	13	20
c3bf5d94634c12fa6a68d858d19fc71d	0	0	0	0	0	0	0	0	0
1f8ad8e19d57de558a88ed9fb9be9858	0	0	0	0	0	0	0	0	0
c750452151a7570b94c64f9fcb207d33	54	87	65	36	68	48	57	42	141
88e6db6044dc36401717ad1f31f9b890	48	63	0	0	73	0	0	68	62
0bac844cbbd80ba984b75c7ae4688c0b	0	0	0	0	0	0	0	0	0
c99397c2588c558f1df83dc4d0e4d3d0	7	8	0	0	10	0	0	0	0
f20f67cb1f851c24066d1d2275fdc605	0	0	0	0	0	0	0	0	0
80c7dd527e79a662f25b93ca27a2e836	0	43	39	37	55	31	0	46	37
85cadea11f338b486db347a7b61a3b3c	0	0	0	0	0	0	0	0	0
287506d0070e2dc52085234f0c2cdf04	17	17	13	14	32	15	49	53	120
339614c316cb9964f593e283eb4105e0	98	115	118	64	81	52	27	70	40
cd7f5c27ec609421e083cfe9be3e7f96	0	0	0	0	0	0	0	0	0
2f2a64093716cb7a65462656c184f7f1	0	0	0	0	0	0	5	0	0
bf20aaf9594e1d1bf41e4e14bf1fe841	68	71	99	59	137	61	20	42	42
ebbb68c5851d90e8694b00eb4c04bfd2	55	92	91	53	98	53	0	70	69
5639353c4c6c80607a42ecccc6f2db86	41	85	72	37	78	59	31	40	90
e3be8912a69d5ab6f3adff105aba586b	86	214	150	0	122	0	0	0	0
cd78d6d6bc6a9ff75477d68bad8b09fa	0	0	0	0	0	0	0	0	0
e14ccafea97ff0c361fc61c8dcc23154	0	0	0	0	0	0	0	0	0
d3aafe1420395f6581d32938aceb3afb	0	0	0	0	0	0	0	0	0
88e6446c09d3fe93253498a4d2f9a0c5	32	52	41	15	61	23	4	36	16
fdf342ebc6fc212c542e22f5d4270b23	0	21	11	0	6	4	0	0	8
fb61b13aa3d84dc0c9d637a88e349f5f	61	47	79	15	35	50	0	0	0
c3b75721fadb91ce413ed22d0029ec57	3	3	0	0	0	2	0	0	0
e3c92b41e431613c5c5f23af4ba8b65f	0	0	0	0	0	0	0	0	0
e8017986d897be329f1fd99081b549a4	0	0	0	0	0	0	0	0	0
268cc37731512506184bd0ff2d9935e2	21	42	34	17	55	32	6	24	28
9182e5b5c4f45301a877817aa4568592	13	32	27	0	21	0	0	0	0
ddd6a46dc8af7661b360f3f9c33da991	0	0	0	0	0	0	0	0	0
7e64529549a54fc68cfc5e832c2f370a	0	0	0	0	0	0	0	0	0
df17dff92d9e5d1d07236d9a96179c08	75	135	147	66	89	72	13	19	55
5e84b2e1ff657fe70498930a1069bf59	0	0	0	0	0	0	0	0	0
f3931878c88c9d308370e5e20aa824b3	66	131	121	64	153	71	0	0	3
19cf0a3da2d004659cbd64b8f1eec541	0	57	47	0	50	0	43	118	87
fbdf381af39b887d91a2a6c97bc24106	4	8	9	5	9	8	5	11	12
